english,banjara,pos,ipa,telugu,hindi,source
danger; accident; casualty,khatra,n.,/khatra/,ఖత్రా,खत्रा,Banjara_english.docx
darkness,andaro,n.,/andāro/,అందారో,अन्दारो,Banjara_english.docx
darling,pyari,adj.,/pyāri/,ప్యారి,प्यारि,Banjara_english.docx
dart,tir,n.,/tir/,తీర్,तीर,Banjara_english.docx
dash,dharas,v.,/dharas/,ధరస్,धरस,Banjara_english.docx
dash; souse,danke,adv.,/danke/,దంకే,दंके,Banjara_english.docx
date,khajjura / tarik,n.,/khajjurā/ /tārik/,ఖజ్జురా / తారిక్,खज्जुरा / तारिक,Banjara_english.docx
daub,copad / limp,v.,/copad/ /limp/,చోపద్ / లింప్,चोपद / लिम्प,Banjara_english.docx
daughter,beti,n.,/bēti/,బేటి,बेटि,Banjara_english.docx
daughter who lost her husband,randagijako beti,n.,/randāgijako bēți/,రండాగిజకో బేటి,रन्डागिजको बेटि,Banjara_english.docx
dawn,parbati / savaro,n.,/parbāti/ /savāro/,పర్బాతి / సవారో,पर्बाति / सवारो,Banjara_english.docx
day,dadi / dado / dimyom,n.,/dadi/ /dado/ /dimyōm/,దది / దదో / దిమ్యోమ్,ददि / ददो / दिम्योम,Banjara_english.docx
daylight,diyom,n.,/diyōm/,దియోమ్,दियोम,Banjara_english.docx
daylight; sunlight,jot,n.,/jōt/,జోట్,जोट,Banjara_english.docx
deafness,byaro,n.,/byāro/,బ్యారో,ब्यारो,Banjara_english.docx
death,margo,n.,/margo/,మర్గో,मर्गो,Banjara_english.docx
debilitate,vangdero koni,v.,/vangdero kōni/,వంగ్దేరో కోని,वंग्देरो कोनि,Banjara_english.docx
decayed state,padavpadgi,n.,/padāvpadgi/,పదావ్పద్గి,पदाव्पद्गि,Banjara_english.docx
decent,ac / varuj,adj.,/āc/ /vāruj/,ఆచ్ / వారుజ్,आच / वारुज,Banjara_english.docx
decision,keler,n.,/keler/,కేలేర్,केलेर,Banjara_english.docx
declining,budtojaro,n.,/budtōjārō/,బుద్తోజారో,बुद्तोजारो,Banjara_english.docx
decoration,sodar,n.,/sodar/,సోదర్,सोदर,Banjara_english.docx
deep,undo,adj.,/undo/,ఉందో,उन्दो,Banjara_english.docx
deep sleep,gyari nind,n.,/gyari nind/,గ్యారి నింద్,ग्यारि निन्द,Banjara_english.docx
deer,citili,n.,/citili/,చితిలి,चितिलि,Banjara_english.docx
defeat,hargo,n.,/hārgo/,హార్గో,हारगो,Banjara_english.docx
defer,thamad,v.,/thamad/,థమాద్,थमाद,Banjara_english.docx
deficiency,khod / khot,n.,/khod/ /khot/,ఖోద్ / ఖోత్,खोद / खोत,Banjara_english.docx
deficiency; deficit,kalo,n.,/kālō/,కాలో,कालो,Banjara_english.docx
deficient,banabaro,adj.,/banābaro/,బనాబరో,बनाबरो,Banjara_english.docx
degenerate,banagatero,n.,/banāgatero/,బనాగతేరో,बनागतेरो,Banjara_english.docx
delay,dhilo,n.,/dhilo/,ధిలో,धिलो,Banjara_english.docx
deliver,janer / der,v.,/janer/ /der/,జనేర్ / దేర్,जनेर / देर,Banjara_english.docx
deluge,dubadnak,v.,/dubadnak/,దుబాద్నాక్,दुबादनाक,Banjara_english.docx
democratic party,prajasvamya parti,n.,/prajāsvāmya pārți/,ప్రజాస్వామ్య పార్టీ,प्रजास्वाम्या पार्टि,Banjara_english.docx
demolish,kula / patak dam,v.,/kulā/ /patak dam/,కులా / పతక్ దమ్,कुला / पतक दम,Banjara_english.docx
demonstrate,puropad,v.,/puropād/,పురోపాద్,पुरोपाद,Banjara_english.docx
dense,gyarogac,adj.,/gyārogac/,గ్యారోగచ్,ग्यारोगच,Banjara_english.docx
departure,calejayer,n.,/calejāyēr/,చలేజాయేర్,चलेजायेर,Banjara_english.docx
depending,abadirer,n.,/abadirer/,అబదిరేర్,अबदिरेर,Banjara_english.docx
derivation,huyer,n.,/hūyer/,హూయేర్,हूयेर,Banjara_english.docx
descend,hutar,v.,/hutar/,హుతార్,हुतार,Banjara_english.docx
descendant,vel,n.,/vel/,వేల్,वेल,Banjara_english.docx
describe,kholan kam,v.,/khōlan kam/,ఖోలన్ కమ్,खोलन कम,Banjara_english.docx
deteriorate,navasgo,v.,/navasgo/,నవస్గో,नवसगो,Banjara_english.docx
devastate,bigadayer,v.,/bigadāyer/,బిగదాయేర్,बिगदायेर,Banjara_english.docx
devilish,papi,adj.,/papi/,పాపి,पापि,Banjara_english.docx
dew,bharap,n.,/bharap/,భరప్,भरप,Banjara_english.docx
did not go,gokoni,v.,/gōkoni/,గోకోని,गोकोनि,Banjara_english.docx
died,muyo / samagojako,v.,/mūyō/ /samāgojako/,మూయో / సమాగోజకో,मूयो / समागोजको,Banjara_english.docx
difference,pharak / bhed,n.,/pharak/ /bhed/,ఫరక్ / భేద్,फरक / भेद,Banjara_english.docx
difficulty,kastati,n.,/kaśtāti/,కశ్తాతి,कश्ताति,Banjara_english.docx
dig,khod,v.,/khōd/,ఖోద్,खोद,Banjara_english.docx
digestion,galero,n.,/galērō/,గలేరో,गलेरो,Banjara_english.docx
dirty,myal,adj.,/myal/,మ్యాల్,म्याल,Banjara_english.docx
dirty hand,melalo hat,n.,/melālō hat/,మేలాలో హాత్,मेलालो हात,Banjara_english.docx
dirty water,gadlo pani,n.,/gadļo pāņi/,గద్ళో పాణి,गदळो पाणि,Banjara_english.docx
disability,tunto / vangdeni,n.,/tunto/ /vangdeni/,తుంతో / వంగ్దేని,तुन्तो / वंग्देनि,Banjara_english.docx
disarrange,bhelbhal,v.,/bhelbhāl/,భేల్భాల్,भेलभाल,Banjara_english.docx
discern,dhund,v.,/dhund/,ధుండ్,धुन्ड,Banjara_english.docx
disciple,cela,n.,/cela/,చేల,चेला,Banjara_english.docx
discipline,dhangeti / tarikati reno,n.,/dhangēti/ /tarikātirēnō/,ధంగేతి / తరికాతిరేనో,धंगेति / तरिकातिरेनो,Banjara_english.docx
disclose,kero / bar ker,v.,/kērō/ /bār kēr/,కేరో / బార్ కేర్,केरो / बार केर,Banjara_english.docx
discord,vatlo,v.,/vatlo/,వత్లో,वत्लो,Banjara_english.docx
disease,dok / bimari / rog,n.,/dok/ /bimāri/ /rōg/,దోక్ / బిమారి / రోగ్,दोक / बिमारि / रोग,Banjara_english.docx
diseased,dok,adj.,/dok/,దోక్,दोक,Banjara_english.docx
disgusting,balla dhangero,adj.,/ballā dhangēro/,బల్లా ధంగేరో,बल्ला धंगेरो,Banjara_english.docx
dish,rander,n.,/rander/,రందేర్,रन्देर,Banjara_english.docx
dishonesty,be imani,n.,/be imani/,బే ఇమాని,बे इमानि,Banjara_english.docx
dismantle,khulanak,v.,/khulānāk/,ఖులానాక్,खुलानाक,Banjara_english.docx
dispassionate,bagar kapater,adj.,/bagar kapatēr/,బగర్ కపతేర్,बगर कपतेर,Banjara_english.docx
dispel,kho go,v.,/khō gō/,ఖో గో,खो गो,Banjara_english.docx
disperse,bhadkayer,v.,/bhadkayer/,భద్కాయేర్,भदकायेर,Banjara_english.docx
dispose,baga,v.,/bagā/,బగా,बगा,Banjara_english.docx
disrespectful,bana maladero,adj.,/banā malādēro/,బనా మలాదేరో,बना मलादेरो,Banjara_english.docx
dissuade,pher,v.,/pher/,ఫేర్,फेर,Banjara_english.docx
distance,cheti / dur,n.,/cheti/ /dur/,ఛేతి / దూర్,छेति / दूर,Banjara_english.docx
distribute,vyant,v.,/vyänt/,వ్యాంత్,व्यान्त,Banjara_english.docx
distribution,demeler,n.,/demeler/,దేమేలేర్,देमेलेर,Banjara_english.docx
distrust,guman,n.,/gumān/,గుమాన్,गुमान,Banjara_english.docx
disturbance,chint chant,n.,/chint chant/,చింట్ ఛాంట్,चिन्ट छान्त,Banjara_english.docx
disunited,divadi karnakejako,adj.,/dīvadi karnākejakō/,దీవది కర్నాకేజకో,दीवदि कर्नाकेजको,Banjara_english.docx
divorce,mamlotodero,n.,/māmlotōdēro/,మామ్లోతోదేరో,माम्लोतोदेरो,Banjara_english.docx
divorced person,chodichado,n.,/chodichado/,ఛోదిచాదో,छोदिचादो,Banjara_english.docx
do,kar,v.,/kar/,కర్,कर,Banjara_english.docx
do jumble,attar pattar kar,v.,/attar pattar kar/,అత్తర్ పత్తర్ కర్,अत्तर पत्तर कर,Banjara_english.docx
do the damage,kharap,v.,/kharap/,ఖరాప్,खराप,Banjara_english.docx
doctrine,jat,n.,/jat/,జాత్,जात,Banjara_english.docx
dog,kotra,n.,/kotra/,కోట్ర,कोट्रा,Banjara_english.docx
donkey,gaddi,n.,/gaddi/,గద్ది,गद्दि,Banjara_english.docx
donor,devalo,pron.,/devālō/,దేవాలో,देवालो,Banjara_english.docx
don't end,purokarmat,v.,/purokarmat/,పురోకర్మత్,पुरोकरमत,Banjara_english.docx
door,kavadi,n.,/kavādi/,కవాది,कवादि,Banjara_english.docx
doorbell,kasapti,n.,/kasāpti/,కసాప్తి,कसाप्ति,Banjara_english.docx
doorway,kadpa,n.,/kadpa/,కడ్ప,कडपा,Banjara_english.docx
douse,ola,v.,/olā/,ఓల,ओला,Banjara_english.docx
downfall,budgo,n.,/būdgo/,బూద్గో,बूद्गो,Banjara_english.docx
drama,natak,n.,/nātak/,నాటక్,नाटक,Banjara_english.docx
draw,khana / gis,v.,/khānā/ /gis/,ఖానా / గిస్,खाना / गिस,Banjara_english.docx
dream,sapano,n.,/sapano/,సపనో,सपनो,Banjara_english.docx
dreary,randima cham,adj.,/randīmā cham/,రందీమా ఛమ్,रन्दीमा छम,Banjara_english.docx
drench,gal,v.,/gal/,గల్,गल,Banjara_english.docx
dried,pharkaro / suko / suk,adj.,/pharkaro/ /sūko/ /suk/,ఫర్కరో / సూకో / సుక్,फरकरो / सूको / सुक,Banjara_english.docx
dried big round tablets made of bull shit,chana,n.,/chana/,ఛన,छना,Banjara_english.docx
dried in sunlight,tadkema sukan,adj.,/tadkēmā sukān/,తద్కేమా సుకాన్,तदकेमा सुकान,Banjara_english.docx
drift,jorti,n.,/jorti/,జోర్తి,जोर्ति,Banjara_english.docx
drill,barma,n.,/barma/,బర్మ,बर्मा,Banjara_english.docx
drink,pi,v.,/pi/,పి,पि,Banjara_english.docx
drive,chaila / hankal,v.,/chaila/ /hankāl/,ఛైల / హంకాల్,छैला / हंकाल,Banjara_english.docx
drooping eyelids,mote bhammra,n.,/mōtē bhammrā/,మోతే భమ్మ్రా,मोते भम्म्रा,Banjara_english.docx
drop,chant / choddero / padedam,n. / v.,/chant/ /choddero/ /padēdam/,ఛాంట్ / ఛోద్దేరో / పదేదమ్,छान्त / छोद्देरो / पदेदम,Banjara_english.docx
droppings,gobar,n.,/gōbar/,గోబర్,गोबर,Banjara_english.docx
drowned,dubgi,adj.,/dubgi/,దుబ్గి,दुब्गि,Banjara_english.docx
drum,nangara,n.,/nangārā/,నంగారా,नंगारा,Banjara_english.docx
dry,tavdomarro,v.,/tāvdōmārro/,తావ్దోమార్రో,ताव्दोमार्रो,Banjara_english.docx
dry under sun,sukayer,v.,/sūkāyēr/,సూకాయేర్,सूकायेर,Banjara_english.docx
dual,jodi,adj.,/jodi/,జోది,जोदि,Banjara_english.docx
duck,batak,n.,/batak/,బతక్,बतक,Banjara_english.docx
dumb person,yando manikya,n.,/yāndo manikyā/,యాందో మనిఖ్యా,यान्दो मनिक्या,Banjara_english.docx
dump,unda / thala,v.,/unda/ /thala/,ఉండ / తల,उन्दा / थला,Banjara_english.docx
duration,gettu,n.,/gettu/,గెత్తు,गेत्तु,Banjara_english.docx
dust,angolo / dummu,n.,/angolo/ /dummu/,అంగోలో / దుమ్ము,अंगोलो / दुम्मु,Banjara_english.docx
dust heap,vokaldi,n.,/vokaldi/,వోకల్ది,वोकल्दि,Banjara_english.docx
dusting,jhad kar,n.,/jhad kar/,ఝాడ్ కర్,झाड कर,Banjara_english.docx
dwarf,podga,n.,/podgā/,పోద్గా,पोद्गा,Banjara_english.docx
dye,chopdero,n.,/chopdero/,ఛోప్దేరో,छोप्देरो,Banjara_english.docx
dying,margo,v.,/margo/,మర్గో,मर्गो,Banjara_english.docx
dysentery,percaler,n.,/percaler/,పేర్చలేర్,पेर्चलेर,Banjara_english.docx
each,ekek,pron.,/ēkēk/,ఏకేక్,एकेक,Banjara_english.docx
eagle,sakra / sameli,n.,/sakra/ /samēli/,సక్ర / సమేలి,सक्र / समेलि,Banjara_english.docx
ear,kan,n.,/kān/,కాన్,कान,Banjara_english.docx
ear hole,kaner vej,n.,/kānēr vēj/,కానేర్ వేజ్,कानेर वेज,Banjara_english.docx
eardrum,gubli,n.,/gubli/,గుబ్లి,गुब्लि,Banjara_english.docx
early in the morning,pampoli phatrijana,adv.,/pampoli phātrijana/,పమ్పొలి ఫాత్రిజన,पम्पोलि फात्रिजना,Banjara_english.docx
earn; earns,kama,v.,/kamā/,కమా,कमा,Banjara_english.docx
earring,kaner kammal,n.,/kaner kammal/,కనేర్ కమ్మల్,कनेर कम्मल,Banjara_english.docx
earth,jammi / jag / dharti,n.,/jammi/ /jāg/ /dharti/,జమ్మి / జాగ్ / ధర్తి,जम्मि / जाग / धर्ति,Banjara_english.docx
earwax,malayi,n.,/malāyi/,మలాయి,मलायि,Banjara_english.docx
east,lanka,n.,/lankā/,లంకా,लंका,Banjara_english.docx
eastward,hetal sam,adv.,/hetal sam/,హేతల్ సామ్,हेतल साम,Banjara_english.docx
easy,holiyant,adj.,/holiyānt/,హోలియాంత్,होलियान्त,Banjara_english.docx
eat meal,khayer,v.,/khayer/,ఖాయేర్,खायेर,Banjara_english.docx
eating,khayer,n.,/khāyēr/,ఖాయేర్,खायेर,Banjara_english.docx
edge,konora / kosa,n.,/konorā/ /kōsa/,కోనోరా / కోస,कोनोरा / कोसा,Banjara_english.docx
edible,khayer,adj.,/khāyēr/,ఖాయేర్,खायेर,Banjara_english.docx
education,padayi,n.,/padāyi/,పదాయి,पदायि,Banjara_english.docx
effort,kosis,n.,/kōśiś/,కోశిశ్,कोशिश,Banjara_english.docx
egg,inda,n.,/inda/,ఇండ,इन्डा,Banjara_english.docx
eight,at,num.,/at/,ఆట్,आट,Banjara_english.docx
eighteen,atharam,num.,/athāram/,అథారమ్,अथारम,Banjara_english.docx
eighty,assi,num.,/assi/,అస్సి,अस्सि,Banjara_english.docx
elaborate,cvado,adj.,/cvādo/,చ్వాదో,च्वादो,Banjara_english.docx
elbow,khuni,n.,/khūni/,ఖూని,खूनि,Banjara_english.docx
elder brother,bhiya,n.,/bhiya/,భియ,भिया,Banjara_english.docx
elder brother's wife,bhojayi,n.,/bhojāyi/,భోజాయి,भोजायि,Banjara_english.docx
elder maternal aunt,motyadi,n.,/motyādi/,మోత్యాది,मोत्यादि,Banjara_english.docx
electricity,karant,n.,/karant/,కరంట్,करन्ट,Banjara_english.docx
elegant,majati,adj.,/majāti/,మజాతి,मजाति,Banjara_english.docx
elementary,dharagadiya,adj.,/dharagadiya/,ధరగదియ,धरगदिया,Banjara_english.docx
elephant,hatti,n.,/hatti/,హత్తి,हत्ति,Banjara_english.docx
eleven,gyaram,num.,/gyāram/,గ్యారమ్,ग्यारम,Banjara_english.docx
elf,potiya,n.,/põțiyā/,పోతియా,पोतिया,Banjara_english.docx
eliminate,nikal,v.,/nikal/,నికల్,निकल,Banjara_english.docx
embers from a fire,bhobar,n.,/bhōbar/,భోబర్,भोबर,Banjara_english.docx
emergency,apti,n.,/apti/,ఆప్తి,आप्ति,Banjara_english.docx
emigrate,lad jo,v.,/lād jō/,లాద్ జో,लाद जो,Banjara_english.docx
employer,bamman,n.,/bāmman/,బామ్మన్,बाम्मन्,Banjara_english.docx
empty,sun,adj.,/sūn/,సూన్,सून,Banjara_english.docx
enamel,ves pyar,v.,/vës pyar/,వేస్ ప్యార్,वेस प्यार,Banjara_english.docx
encounters,khev,v.,/khev/,ఖేవ్,खेव,Banjara_english.docx
end,akhar / khutad / laram,n.,/akhar/ /khutad/ /lāram/,అఖర్ / ఖుతద్ / లారమ్,अखर / खुतद / लारम,Banjara_english.docx
end of the road,pilla vat,n.,/pilla vat/,పిల్ల వాట్,पिल्ला वाट,Banjara_english.docx
endless,katrayiko,adj.,/katrāyikō/,కత్రాయికో,कत्रायिको,Banjara_english.docx
endure,kham lam,v.,/kham lam/,ఖమ్ లమ్,खम लम,Banjara_english.docx
enemy,dusman,n.,/dusman/,దుస్మన్,दुस्मन,Banjara_english.docx
energy,jorbar ti / takat,n.,/jōrbār ti/ /tākat/,జోర్బార్ తి / తాకత్,जोरबार ति / ताकत,Banjara_english.docx
enervation,kamjor,n.,/kamjor/,కమ్జోర్,कमजोर,Banjara_english.docx
engine,injan,n.,/injan/,ఇంజన్,इंजन,Banjara_english.docx
england,ingland,n. prop.,/ingland/,ఇంగ్లండ్,इंग्लंड,Banjara_english.docx
english,inglis,n. prop.,/inglis/,ఇంగ్లిస్,इंग्लिस,Banjara_english.docx
enrol,sarik,v.,/śarik/,శరిక్,शरिक,Banjara_english.docx
enter,jo,v.,/jō/,జో,जो,Banjara_english.docx
entertainment,khusal,n.,/khuśāl/,ఖుశాల్,खुशाल,Banjara_english.docx
entrance,galma,n.,/galmā/,గల్మా,गल्मा,Banjara_english.docx
enumeration,lekko,n.,/lekko/,లెక్కో,लेक्को,Banjara_english.docx
environment,aspasema / aspas / cutpat / paryavaran,n.,/āspāsemā/ /āspās/ /cutpāt/ /paryavaran/,ఆస్పాసేమా / ఆస్పాస్ / చుత్పాత్ / పర్యావరన్,आस्पासेमा / आसपास / चुत्पात / पर्यावरण,Banjara_english.docx
erase,luyer,v.,/lüyer/,లూయేర్,लूयेर,Banjara_english.docx
eruption,phuter / phutan pade,n.,/phuter/ /phutan padë/,ఫుతేర్ / ఫుతన్ పదే,फुतेर / फुतन पदे,Banjara_english.docx
escape,tapa,v.,/tapa/,తప,तपा,Banjara_english.docx
established,sthapit,adj.,/sthāpit/,స్థాపిత్,स्थापित,Banjara_english.docx
estate,jagir,n.,/jāgīr/,జాగీర్,जागीर,Banjara_english.docx
eunuch,bayala,n.,/bāyala/,బాయల,बायला,Banjara_english.docx
even,vatoyi,adv.,/vatoyi/,వతోయి,वतोयि,Banjara_english.docx
even though,toyi / ratoy,adv.,/tōyi/ /ratōy/,తోయి / రతోయ్,तोयि / रतोय,Banjara_english.docx
evening,sanj,n.,/sāñj/,సాంజ్,सांज,Banjara_english.docx
eventually,kosan,adv.,/kosan/,కోసన్,कोसन,Banjara_english.docx
every day,dadi,adv.,/dādi/,దాది,दादि,Banjara_english.docx
everyone,se / harek,pron.,/se/ /harek/,సే / హరేక్,से / हरेक,Banjara_english.docx
everything,se,pron.,/se/,సే,से,Banjara_english.docx
evident,chango / phatpado,adj.,/chango/ /phatpado/,ఛంగో / ఫత్పదో,छंगो / फत्पदो,Banjara_english.docx
evil,dana,n.,/dānā/,దానా,दाना,Banjara_english.docx
ewes,gorli,n.,/gōrli/,గోర్లి,गोर्लि,Banjara_english.docx
exact,asli,adj.,/asli/,అస్లి,अस्लि,Banjara_english.docx
exactly,khara khandi / barobar,adv.,/khara khandi/ /barōbar/,ఖర ఖండి / బరోబర్,खरा खण्डि / बरोबर,Banjara_english.docx
example,udaharar,n.,/udāhārār/,ఉదాహరార్,उदाहारार,Banjara_english.docx
exceed,badgo,v.,/badgo/,బద్గో,बदगो,Banjara_english.docx
except,regojako,prep.,/rēgojakō/,రేగోజకో,रेगोजको,Banjara_english.docx
exchange,pher,v.,/pher/,ఫేర్,फेर,Banjara_english.docx
excuse,maphikar / samallam,v.,/maphikar/ /samallam/,మాఫికార్ / సమల్లమ్,माफिकार / समल्लम,Banjara_english.docx
exercise,kasrat,n.,/kasrat/,కస్రత్,कसरत,Banjara_english.docx
existing,chum,adj.,/chūm/,ఛూమ్,छूम,Banjara_english.docx
expand,jadaphyaler,v.,/jādāphyāler/,జాదాఫ్యాలేర్,जादाफ्यालेर,Banjara_english.docx
expatriate,nikalder,v.,/nikālder/,నికాల్దేర్,निकालदेर,Banjara_english.docx
expenditure,kharac,n.,/kharac/,ఖరచ్,खरच,Banjara_english.docx
experience,dhund,n.,/dhund/,ధుండ్,धुन्ड,Banjara_english.docx
experienced,anubhav chamjako,adj.,/anubhav chamjakō/,అనుభవ్ ఛమ్జకో,अनुभव छमजको,Banjara_english.docx
explode,phuter,v.,/phuter/,ఫుతేర్,फुतेर,Banjara_english.docx
extend,bada / mand,v.,/bada/ /mand/,బద / మండ్,बदा / मन्ड,Banjara_english.docx
extinct,pharagat,adj.,/pharāgat/,ఫరాగత్,फरागत,Banjara_english.docx
extortion,nakam,n.,/nakām/,నకామ్,नकाम,Banjara_english.docx
extra,jappa,adj.,/jappa/,జప్ప,जप्पा,Banjara_english.docx
extravagant,nakam,adj.,/nakām/,నకామ్,नकाम,Banjara_english.docx
extreme,asman,adj.,/asmān/,అస్మాన్,अस्मान,Banjara_english.docx
extricate,chodalejo,v.,/chōdālējo/,ఛోదాలేజో,छोदालेजो,Banjara_english.docx
exude,cuvam,v.,/cuvam/,చువమ్,चुवम,Banjara_english.docx
ex-husband,agdir gharevalo / tander,n.,/agdir gharēvālō/ /tander/,ఆగ్దిర్ ఘరేవాలో / తందేర్,आग्दिर घरेवालो / तन्देर,Banjara_english.docx
ex-wife,agdir tandri,n.,/agdir tandri/,ఆగ్దిర్ తండ్రి,आग्दिर तन्द्रि,Banjara_english.docx
eye,anki,n.,/āńki/,ఆంకి,आंकि,Banjara_english.docx
eyelash,bhamra,n.,/bhamra/,భమ్ర,भम्रा,Banjara_english.docx
face,munang ayer,v.,/munang ayer/,మునంగ్ అయేర్,मुनंग अयेर,Banjara_english.docx
factor,saval puncer,n.,/savāl pūncer/,సవాల్ పూంచేర్,सवाल पून्चेर,Banjara_english.docx
factory,karkhana,n.,/karkhānā/,కర్ఖానా,कर्खाना,Banjara_english.docx
fairly,nayameti / sudo,adv.,/nāyameti/ /sūdō/,నాయమేతి / సూదో,नायमेति / सूदो,Banjara_english.docx
falling,jhadhe,n.,/jhadhe/,ఝధే,झधे,Banjara_english.docx
falling again,undopader,n.,/undopader/,ఉందాపదేర్,उन्दोपदेर,Banjara_english.docx
false belief,asa,n.,/āśa/,ఆశ,आशा,Banjara_english.docx
false talk,thalivate,n.,/thalivate/,థలివాతే,थलिवाते,Banjara_english.docx
fame,badonam,n.,/badonām/,బదోనామ్,बदोनाम,Banjara_english.docx
family,ali / katmalo / gharbar / tando,n.,/ali/ /katmālo/ /gharbar/ /tando/,అలి / కత్మలో / ఘర్బార్ / తందో,अलि / कत्मालो / घरबार / तन्दो,Banjara_english.docx
famine,kalo,n.,/kālō/,కాలో,कालो,Banjara_english.docx
fare,bhav,n.,/bhāv/,భావ్,भाव,Banjara_english.docx
farina,kanki,n.,/kanki/,కంకి,कंकि,Banjara_english.docx
farm,gutta / vadi,n.,/gutta/ /vādi/,గుత్త / వాది,गुत्त / वादि,Banjara_english.docx
farmer,jammedar,n.,/jammēdār/,జమ్మేదార్,जम्मेदार,Banjara_english.docx
fast,jaldi / sapake,adj.,/jaldi/ /sapake/,జల్ది / సపకే,जल्दि / सपके,Banjara_english.docx
faster,sapke,adv.,/sapkē/,సప్కే,सप्के,Banjara_english.docx
fasting,bhuko ram / bhuko,n.,/bhuko ram/ /bhūko/,భుకో రమ్ / భూకో,भुको रम / भूको,Banjara_english.docx
fat,jor / masti,n.,/jor/ /masti/,జోర్ / మస్తి,जोर / मस्ति,Banjara_english.docx
fate,ghadi / nasib,n.,/ghadi/ /nasib/,ఘది / నసిబ్,घदि / नसिब,Banjara_english.docx
father,bap,n.,/bāp/,బాప్,बाप,Banjara_english.docx
favour,asaro,n.,/āsaro/,ఆసరో,आसरो,Banjara_english.docx
fear,camak,n.,/camak/,చమక్,चमक,Banjara_english.docx
fearless,himmat,adj.,/himmat/,హిమ్మత్,हिम्मत,Banjara_english.docx
fear; terror,camak,n.,/camak/,చమక్,चमक,Banjara_english.docx
feather,pankodar latta,n.,/pankōdar lattā/,పంకోదర్ లత్తా,पन्कोदर लत्ता,Banjara_english.docx
feathers,ponkodar latta / ponkoda,n.,/ponkodar latta/ /ponkōdä/,పొంకోదర్ లత్త / పొంకోద,पोन्कोदर लत्ता / पोन्कोद,Banjara_english.docx
feature,dhang,n.,/dhang/,ధంగ్,धंग,Banjara_english.docx
feces,gu,n.,/gu/,గు,गु,Banjara_english.docx
feed,khora,v.,/khora/,ఖోర,खोर,Banjara_english.docx
feel,keler / mvaje,n.,/keler/ /mvāje/,కేలేర్ / మ్వాజే,केलेर / म्वाजे,Banjara_english.docx
feeling,daleti,n.,/dalēti/,దలేతి,दलेति,Banjara_english.docx
feeling giddy,gheri pharer,n.,/gheri pharer/,ఘేరి ఫరేర్,घेरि फरेर,Banjara_english.docx
fellow,sopti,n.,/sõpti/,సోప్తి,सोप्ति,Banjara_english.docx
female calf,keldi,n.,/keldi/,కేల్ది,केल्दि,Banjara_english.docx
female cheetah,citto,n.,/citto/,చిత్తో,चित्तो,Banjara_english.docx
female fox,sali,n.,/sāļi/,సాళి,साळि,Banjara_english.docx
female frog,mitki,n.,/mitki/,మిత్కి,मित्कि,Banjara_english.docx
female goat,cheli,n.,/chēlī/,ఛేలీ,छेली,Banjara_english.docx
female horse / mare,ghodi,n.,/ghodi/,ఘోది,घोदि,Banjara_english.docx
female pig / sow,suri,n.,/suri/,సురి,सुरि,Banjara_english.docx
female slave,dasi,n.,/dāsi/,దాసి,दासि,Banjara_english.docx
female tiger / tigress,janavar,n.,/janāvar/,జనావర్,जनावर,Banjara_english.docx
fence,dadi,n.,/dadi/,దది,ददि,Banjara_english.docx
fencing,vad,n.,/vād/,వాద్,वाद,Banjara_english.docx
fenugreek,metti,n.,/metti/,మెత్తి,मेत्ति,Banjara_english.docx
fertilizer,dava,n.,/dava/,దవ,दवा,Banjara_english.docx
fever,tav / tavdeker,n.,/tāv/ /tävdeker/,తావ్ / తావ్దేకేర్,ताव / तावदेकेर,Banjara_english.docx
few; a good few,dassek,n.,/dassēk/,దస్సేక్,दस्सेक,Banjara_english.docx
fibre,nara,n.,/nara/,నర,नर,Banjara_english.docx
fiction,janan,n.,/janan/,జనన్,जनन,Banjara_english.docx
field,kyara / khet,n.,/kyārā/ /khet/,క్యారా / ఖేత్,क्यारा / खेत,Banjara_english.docx
fifteen,pandram,num.,/pandram/,పంద్రమ్,पन्द्रम,Banjara_english.docx
fifty,pacas,num.,/pacās/,పచాస్,पचास,Banjara_english.docx
figure,thakul,v.,/thakul/,థకుల్,थकुल,Banjara_english.docx
fill,bhar,v.,/bhar/,భర్,भर,Banjara_english.docx
filled,bhari,adj.,/bhari/,భరి,भरि,Banjara_english.docx
film,silma,n.,/silma/,సిల్మా,सिल्मा,Banjara_english.docx
filtered,chan,adj.,/chan/,ఛన్,छन,Banjara_english.docx
final,akhar,adj.,/akhar/,అఖర్,अखर,Banjara_english.docx
finance,pisa,n.,/pisa/,పిస,पिस,Banjara_english.docx
finding,laber,n.,/lābēr/,లాబేర్,लाबेर,Banjara_english.docx
fingers,angli,n.,/angli/,అంగ్లి,अंग्लि,Banjara_english.docx
finish,pur vego,v.,/pur vēgo/,పుర్ వేగో,पुर वेगो,Banjara_english.docx
finishing,akhar,adj.,/akhar/,అఖర్,अखर,Banjara_english.docx
fire,angar,n.,/angar/,అంగార్,अंगार,Banjara_english.docx
fire with a gun,banduketi bhaler,v.,/bandukēti bhāļēr/,బందుకేతి భాళేర్,बन्दुकेति भाळेर,Banjara_english.docx
firebrand,bhobrer jhara,n.,/bhobrer jhārā/,భోబ్రేర్ ఝారా,भोब्रेर झारा,Banjara_english.docx
fires have risen,holi,v.,/holi/,హోలి,होलि,Banjara_english.docx
firewood,culer lakdi,n.,/cüler lakdi/,చూలేర్ లక్ది,चूलेर लक्दि,Banjara_english.docx
